what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1372480002238
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1372480002238
java.specification.version,sysinfo,,,"1.6",1372480002238
java.vendor,sysinfo,,,"Apple Inc.",1372480002238
java.version,sysinfo,,,"1.6.0_29",1372480002238
java.vm.info,sysinfo,,,"mixed mode",1372480002238
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1372480002238
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1372480002238
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1372480002238
java.vm.specification.version,sysinfo,,,"1.0",1372480002238
java.vm.vendor,sysinfo,,,"Apple Inc.",1372480002238
java.vm.version,sysinfo,,,"20.4-b02-402",1372480002238
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1372480002244
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1372480002527
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1372480002592
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1372480002716
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1372480002739
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1372480002764
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1372480003337
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1372480003525
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480003917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480009731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480015618
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480018962
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1372480019022
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1372480020149
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1372480020934
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480027914
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480034633
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480038727
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480049013
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1372480049256
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1372480049320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480052101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480085454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480090005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480112972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480115580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480253991
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480259277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480264715
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1372480266035
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1372480266308
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1372480266867
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1372480267004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480282420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480282468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480282502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480285677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480295670
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480445213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480453093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480460360
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372480463043
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1372480464023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372480464155
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1372480464230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480467255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372480469163
